Protein	FL	FR	ST	LE	SE
ASA1-Cac_g008782	49206.61979	0	141869.276	0	102254.2839
TSB-Cac_g001032	241297.7083	230013.9427	317912.4635	219633.0156	91270.89323
TDC1-Cac_g018974	139971.9583	53534.41016	103484.5104	47093.71094	114584.4922
TDC2-Cac_g023139	151462.3307	0	5151.155273	28364.48926	7958.265788
DXR-Cac_g016318	1229661.583	202149.8385	885527.6563	1277727.458	766763.5208
CMS-Cac_g018722	111435.9453	62820.75391	381433.3229	1222429.875	182271.7031
CMK-Cac_g021688	14291.55078	56363.34505	53185.52344	54632.35091	171426.4271
MECS-Cac_g008169	101071.6458	69965.86849	159653.0156	494592.1771	172558.8125
HDS-Cac_g022763	67157.67253	24633.32194	313961.026	41313.44727	32084.4056
HDR-Cac_g014659	131842.7174	72903.55859	256145.224	265326.9375	126093.8854
IPI1-Cac_g008847	325339.7448	9431.164795	177772.4326	38659.94108	14758.39974
IPI2-Cac_g027591	1068489.583	381126.3333	647986.4271	837464.9375	484281.1563
GES-Cac_g014037	0	0	231611.901	0	55780.37109
G10H-Cac_g027852	24419.51432	12397.59473	10038.53841	2517.315918	26992.24544
10HGO-Cac_g005530	61137.125	40767.98047	59599.97526	52539.25781	181846.3776
IS-Cac_g006027	42695.47689	35582.98828	1394265.625	0	303784.7813
IO-Cac_g032709	0	37392.8125	1819483.458	49187.45833	2049413.25
7DLGT-Cac_g008744	8726.271159	3126.49349	203051.0052	0	67996.54818
7DLH-Cac_g017137	573874.5208	177200.8229	578024.9167	44386.72786	614900.8542
7DLH-Cac_g012666	381159.2865	0	0	0	0
CPR2-Cac_g008487	40842.3444	78196.62109	84147.31641	5015.130208	82795.45052
10OMT-Cac_g014785	34220.6849	1039.313883	261956.2695	0	38577.24089
STR2-Cac_g030435	217870.0625	14199.53776	8567.608724	0	619692.125
STR3-Cac_g030441	1272752.938	0	407643.9375	0	335578.5417
CYP71BE206_Cac_g004916	78333.67318	41846.02474	73080.22135	18215.61849	35789.05859
EH2-Cac_g013200	72069.33333	16917.69434	80263.36458	75476.78516	27786.05469
EH1-Cac_g006314	813989.9375	1252705.688	606534.2813	388326.4688	540807.3438
